,STNAME,STATE,COUNTY,CTYNAME,GEO,TOT_POP,prop_male,prop_female,prop_white,prop_black,prop_amin,prop_asian,prop_na,prop_two,prop_nohis,prop_his
1,Alabama,1,1,Autauga County,05000US01001,55278,48.76623612,51.23376388,77.19526756,19.24273671,0.470349868,1.190346973,0.092260936,1.809037954,97.28825211,2.711747892
2,Alabama,1,3,Baldwin County,05000US01003,207509,48.59837405,51.40162595,87.17019503,9.211166745,0.76864136,1.074170277,0.060720258,1.715106333,95.52404956,4.475950441
3,Alabama,1,5,Barbour County,05000US01005,25774,52.70815551,47.29184449,49.68572981,48.01738186,0.613020874,0.422906805,0.170714674,1.090245984,95.81361062,4.186389385
4,Alabama,1,7,Bibb County,05000US01007,22633,53.497106,46.502894,76.66239562,21.65422171,0.375557814,0.207661379,0.119294835,0.980868643,97.52131843,2.478681571
5,Alabama,1,9,Blount County,05000US01009,57562,49.26340294,50.73659706,96.02168097,1.587853098,0.59935374,0.281435669,0.112921719,1.396754804,90.794274,9.205726
6,Alabama,1,11,Bullock County,05000US01011,10441,54.24767743,45.75232257,26.56833637,70.37640073,0.8619864,0.249018293,0.737477253,1.20678096,92.27085528,7.729144718
7,Alabama,1,13,Butler County,05000US01013,19965,46.47132482,53.52867518,52.85249186,44.61307288,0.3756574,1.096919609,0.050087653,1.011770599,98.65264212,1.347357876
8,Alabama,1,15,Calhoun County,05000US01015,114980,48.07705688,51.92294312,75.5226996,20.99930423,0.515741868,0.974082449,0.104365977,1.883805879,96.30544443,3.694555575
9,Alabama,1,17,Chambers County,05000US01017,33717,47.93724234,52.06275766,57.45173058,39.81670967,0.308449743,1.180413441,0.053385533,1.18931103,97.74297832,2.25702168
10,Alabama,1,19,Cherokee County,05000US01019,25766,49.64294031,50.35705969,93.06450361,4.319646045,0.63649771,0.287200186,0.031048669,1.66110378,98.41263681,1.587363192
11,Alabama,1,21,Chilton County,05000US01021,43830,49.09650924,50.90349076,87.20511065,10.33994981,0.52019165,0.460871549,0.175678759,1.298197582,92.2746977,7.725302304
12,Alabama,1,23,Choctaw County,05000US01023,13050,47.43295019,52.56704981,57.23371648,41.77011494,0.199233716,0.137931034,0.007662835,0.651340996,99.04214559,0.957854406
13,Alabama,1,25,Clarke County,05000US01025,24350,47.32238193,52.67761807,53.75359343,44.40246407,0.455852156,0.488706366,0.016427105,0.882956879,98.6201232,1.379876797
14,Alabama,1,27,Clay County,05000US01027,13410,48.97837435,51.02162565,82.99776286,14.25055928,0.566741238,0.231170768,0,1.953765846,96.96495153,3.035048471
15,Alabama,1,29,Cleburne County,05000US01029,14873,49.6133934,50.3866066,94.83628051,3.240771868,0.470651516,0.181537013,0.080683117,1.190075977,97.5660593,2.433940698
16,Alabama,1,31,Coffee County,05000US01031,51217,49.34299158,50.65700842,75.98063143,17.78901537,1.392115899,1.567838804,0.429544878,2.840853623,93.123377,6.876622996
17,Alabama,1,33,Colbert County,05000US01033,54327,48.128923,51.871077,80.80144311,16.08592413,0.640565465,0.541167375,0.055221161,1.87567876,97.53713623,2.462863769
18,Alabama,1,35,Conecuh County,05000US01035,12515,47.87055533,52.12944467,50.94686376,47.06352377,0.391530164,0.183779465,0.031961646,1.382341191,98.02636836,1.973631642
19,Alabama,1,37,Coosa County,05000US01037,10809,50.5689703,49.4310297,66.94421316,30.86316958,0.592099177,0.138773245,0.157276344,1.304468498,97.72411879,2.27588121
20,Alabama,1,39,Covington County,05000US01039,37386,48.2185845,51.7814155,84.6118868,12.76413631,0.652650725,0.465414861,0.008024394,1.49788691,98.36302359,1.636976408
21,Alabama,1,41,Crenshaw County,05000US01041,13907,48.73804559,51.26195441,72.560581,23.73624793,0.575249874,1.243977853,0.028762494,1.855180844,98.01538793,1.984612066
22,Alabama,1,43,Cullman County,05000US01043,82322,49.39262894,50.60737106,96.17113287,1.2548286,0.62194796,0.591579408,0.075314011,1.285197153,95.66580015,4.334199849
23,Alabama,1,45,Dale County,05000US01045,49228,49.3804339,50.6195661,74.61810352,20.38880312,0.85723572,1.283822215,0.176728691,2.675306736,93.7698058,6.230194198
24,Alabama,1,47,Dallas County,05000US01047,40081,46.1290886,53.8709114,28.01077817,70.37748559,0.266959407,0.476535017,0.047404007,0.820837803,98.93964721,1.060352786
25,Alabama,1,49,DeKalb County,05000US01049,71216,49.57172545,50.42827455,92.89064255,1.817007414,2.005167378,0.424062009,0.655751517,2.207369131,85.54678724,14.45321276
26,Alabama,1,51,Elmore County,05000US01051,81240,48.51797144,51.48202856,75.85918267,21.21368784,0.47267356,0.699162974,0.121861152,1.633431807,97.16642048,2.833579517
27,Alabama,1,53,Escambia County,05000US01053,37476,51.46493756,48.53506244,61.79688334,32.22328957,3.661009713,0.274842566,0.058704237,1.985270573,97.79592272,2.204077276
28,Alabama,1,55,Etowah County,05000US01055,102726,48.34803263,51.65196737,81.00675584,15.61240582,0.603547301,0.805054222,0.306640967,1.665595857,96.22782937,3.772170629
29,Alabama,1,57,Fayette County,05000US01057,16538,49.40137864,50.59862136,86.20752207,11.82126013,0.453501028,0.266053936,0.00604668,1.245616157,98.33111622,1.668883783
30,Alabama,1,59,Franklin County,05000US01059,31577,50.10925674,49.89074326,91.63315071,4.544446908,1.494758843,0.43702695,0.27551699,1.615099598,83.24413339,16.75586661
31,Alabama,1,61,Geneva County,05000US01061,26516,48.91763464,51.08236536,87.24920803,9.548951576,0.980540051,0.343189018,0.079197466,1.798913863,96.11178157,3.888218434
32,Alabama,1,63,Greene County,05000US01063,8488,47.30207352,52.69792648,17.87229029,80.80819981,0.294533459,0.270970782,0,0.754005655,98.71583412,1.284165881
33,Alabama,1,65,Hale County,05000US01065,14847,47.28901462,52.71098538,40.5334411,58.28113424,0.202061022,0.282885431,0.013470735,0.687007476,98.61924968,1.38075032
34,Alabama,1,67,Henry County,05000US01067,17092,48.39691084,51.60308916,70.76410016,26.98338404,0.403697636,0.497308682,0.023402762,1.328106717,97.48420314,2.515796864
